time,type,text,avc_Pedestrian.lane_id,avc_Pedestrian.pedestrian_id,avc_Pedestrian.speed,avc_Pedestrian.confidence,avc_Pedestrian.detector_type,source.id
2025-03-01T14:46:54.302000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401222,5,10,flircam,2
2025-03-01T14:46:54.706000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401224,4.6,9,flircam,2
2025-03-01T14:47:11.184000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401230,4.9,10,flircam,2
2025-03-01T14:50:13.639000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401272,3.7,10,flircam,2
2025-03-01T14:50:15.107000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401274,3.9,10,flircam,2
2025-03-01T14:50:18.775000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401278,4.1,10,flircam,2
2025-03-01T14:50:27.719000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401282,3.9,10,flircam,2
2025-03-01T14:50:48.769000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401286,3.7,10,flircam,2
2025-03-01T14:52:15.458000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401306,4.7,10,flircam,2
2025-03-01T14:52:16.257000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401308,4.8,10,flircam,2
2025-03-01T14:52:50.257000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401320,5.7,10,flircam,2
2025-03-01T15:00:30.220000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401448,4.5,10,flircam,2
2025-03-01T15:02:40.955000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401478,2.3,10,flircam,2
2025-03-01T15:02:53.230000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401481,3.9,10,flircam,2
2025-03-01T15:02:55.231000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1401483,4.6,10,flircam,2
2025-03-01T15:03:40.577000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401491,4.5,10,flircam,2
2025-03-01T15:04:16.980000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401502,5.3,10,flircam,2
2025-03-01T15:04:33.329000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401506,4.5,6,flircam,2
2025-03-01T15:04:33.531000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401508,4.5,10,flircam,2
2025-03-01T15:04:41.805000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401510,4.6,10,flircam,2
2025-03-01T15:05:33.456000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401520,5.4,10,flircam,2
2025-03-01T15:06:46.697000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401538,4.6,10,flircam,2
2025-03-01T15:06:50.902000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1401540,6.3,10,flircam,2
2025-03-01T16:02:44.328000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402378,4.3,10,flircam,2
2025-03-01T16:03:58.170000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402389,5,10,flircam,2
2025-03-01T16:04:00.507000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402392,4.3,10,flircam,2
2025-03-01T16:04:03.042000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402394,4.2,10,flircam,2
2025-03-01T16:04:16.723000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402401,6,10,flircam,2
2025-03-01T16:05:08.006000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402416,5.8,10,flircam,2
2025-03-01T16:05:23.622000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402418,6.3,10,flircam,2
2025-03-01T16:05:35.735000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402424,5,10,flircam,2
2025-03-01T16:05:52.685000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402427,5,10,flircam,2
2025-03-01T16:05:53.619000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402429,4.1,10,flircam,2
2025-03-01T16:05:53.953000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402431,5.4,10,flircam,2
2025-03-01T16:05:54.686000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402433,4.5,10,flircam,2
2025-03-01T16:06:06.835000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402439,4.9,10,flircam,2
2025-03-01T16:06:10.639000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402442,4.6,10,flircam,2
2025-03-01T16:06:58.184000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402448,5.1,10,flircam,2
2025-03-01T16:06:58.986000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402451,3.1,10,flircam,2
2025-03-01T16:07:59.044000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402469,5,10,flircam,2
2025-03-01T16:07:59.112000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402471,5,10,flircam,2
2025-03-01T16:08:04.252000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402474,5.4,10,flircam,2
2025-03-01T16:08:38.650000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1402481,5.6,10,flircam,2
2025-03-01T16:08:58.772000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402485,4.4,10,flircam,2
2025-03-01T16:09:38.644000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1402496,5.5,10,flircam,2
2025-03-01T16:20:30.463000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1402641,6.2,10,flircam,2
2025-03-01T16:20:41.975000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402647,4.7,10,flircam,2
2025-03-01T16:20:42.110000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1402649,4.9,10,flircam,2
2025-03-01T16:21:16.975000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1402655,5.7,10,flircam,2
2025-03-01T16:21:42.802000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1402660,4.3,7,flircam,2
