time,type,text,avc_Vehicle.lane_id,avc_Vehicle.vehicle_id,avc_Vehicle.speed,avc_Vehicle.vehicle_class,avc_Vehicle.vehicle_class_ai,avc_Vehicle.length,avc_Vehicle.confidence,avc_Vehicle.detector_type,source.id
2025-03-01T08:31:03.379000+02:00,avc_VehicleEvent,Vehicle detected,2,1451875,32.9,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:06.447000+02:00,avc_VehicleEvent,Vehicle detected,2,1451876,25,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:08.316000+02:00,avc_VehicleEvent,Vehicle detected,2,1451877,31.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:11.186000+02:00,avc_VehicleEvent,Vehicle detected,4,1451878,10.7,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T08:31:34.607000+02:00,avc_VehicleEvent,Vehicle detected,2,1451880,42.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:37.813000+02:00,avc_VehicleEvent,Vehicle detected,2,1451881,25.9,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:39.814000+02:00,avc_VehicleEvent,Vehicle detected,2,1451882,31,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:42.819000+02:00,avc_VehicleEvent,Vehicle detected,2,1451883,37.6,1,Car,5,10,flircam,97869098849
2025-03-01T08:31:46.761000+02:00,avc_VehicleEvent,Vehicle detected,2,1451884,21.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:32:41.241000+02:00,avc_VehicleEvent,Vehicle detected,2,1451885,33.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:32:44.912000+02:00,avc_VehicleEvent,Vehicle detected,2,1451886,23.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:33:05.131000+02:00,avc_VehicleEvent,Vehicle detected,2,1451887,23.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:33:37.831000+02:00,avc_VehicleEvent,Vehicle detected,2,1451888,22.6,1,Car,5,10,flircam,97869098849
2025-03-01T08:33:44.571000+02:00,avc_VehicleEvent,Vehicle detected,2,1451889,22,1,Car,5,10,flircam,97869098849
2025-03-01T08:34:14.002000+02:00,avc_VehicleEvent,Vehicle detected,2,1451890,23.7,1,Car,5,10,flircam,97869098849
2025-03-01T08:34:36.124000+02:00,avc_VehicleEvent,Vehicle detected,2,1451891,37.5,1,Car,5,10,flircam,97869098849
2025-03-01T08:34:43.196000+02:00,avc_VehicleEvent,Vehicle detected,2,1451892,38.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:35:04.420000+02:00,avc_VehicleEvent,Vehicle detected,2,1451893,24.4,1,Car,5,10,flircam,97869098849
2025-03-01T08:35:15.310000+02:00,avc_VehicleEvent,Vehicle detected,2,1451896,27.4,1,Car,5,10,flircam,97869098849
2025-03-01T08:35:23.939000+02:00,avc_VehicleEvent,Vehicle detected,2,1451897,32.2,2,Bus,15,10,flircam,97869098849
2025-03-01T08:35:26.940000+02:00,avc_VehicleEvent,Vehicle detected,2,1451898,23.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:35:47.568000+02:00,avc_VehicleEvent,Vehicle detected,2,1451901,27.6,1,Car,5,10,flircam,97869098849
2025-03-01T08:36:06.179000+02:00,avc_VehicleEvent,Vehicle detected,2,1451902,36.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:36:09.515000+02:00,avc_VehicleEvent,Vehicle detected,2,1451903,28.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:37:41.074000+02:00,avc_VehicleEvent,Vehicle detected,2,1451904,19.5,1,Car,5,10,flircam,97869098849
2025-03-01T08:37:47.246000+02:00,avc_VehicleEvent,Vehicle detected,4,1451905,12.6,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T08:38:43.772000+02:00,avc_VehicleEvent,Vehicle detected,8,1451909,15.6,1,Bicycle,1.8,9,flircam,97869098849
2025-03-01T08:39:01.454000+02:00,avc_VehicleEvent,Vehicle detected,2,1451911,26.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:36:45.082000+02:00,avc_VehicleEvent,Vehicle detected,2,1452969,23.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:36:47.151000+02:00,avc_VehicleEvent,Vehicle detected,2,1452970,26.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:36:51.222000+02:00,avc_VehicleEvent,Vehicle detected,2,1452971,23,1,Car,5,10,flircam,97869098849
2025-03-01T10:36:53.157000+02:00,avc_VehicleEvent,Vehicle detected,2,1452974,23.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:36:55.829000+02:00,avc_VehicleEvent,Vehicle detected,2,1452975,23.9,1,Car,5,7,flircam,97869098849
2025-03-01T10:37:29.129000+02:00,avc_VehicleEvent,Vehicle detected,2,1452980,28,1,Car,5,10,flircam,97869098849
2025-03-01T10:37:46.946000+02:00,avc_VehicleEvent,Vehicle detected,2,1452983,29.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:38:25.717000+02:00,avc_VehicleEvent,Vehicle detected,2,1452986,31.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:38:30.322000+02:00,avc_VehicleEvent,Vehicle detected,2,1452989,25.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:38:34.394000+02:00,avc_VehicleEvent,Vehicle detected,2,1452990,22.4,1,Car,5,10,flircam,97869098849
2025-03-01T10:38:39.002000+02:00,avc_VehicleEvent,Vehicle detected,2,1452991,21.5,1,Car,5,10,flircam,97869098849
2025-03-01T10:38:46.804000+02:00,avc_VehicleEvent,Vehicle detected,2,1452992,29.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:03.622000+02:00,avc_VehicleEvent,Vehicle detected,2,1452995,36.2,2,Bus,15,9,flircam,97869098849
2025-03-01T10:39:10.961000+02:00,avc_VehicleEvent,Vehicle detected,2,1452996,26.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:25.478000+02:00,avc_VehicleEvent,Vehicle detected,2,1452997,33.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:28.415000+02:00,avc_VehicleEvent,Vehicle detected,2,1452998,30.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:31.148000+02:00,avc_VehicleEvent,Vehicle detected,2,1452999,25.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:40.023000+02:00,avc_VehicleEvent,Vehicle detected,2,1453000,25.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:46.029000+02:00,avc_VehicleEvent,Vehicle detected,2,1453001,27.5,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:49.901000+02:00,avc_VehicleEvent,Vehicle detected,2,1453002,25.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:54.908000+02:00,avc_VehicleEvent,Vehicle detected,2,1453005,22.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:39:57.108000+02:00,avc_VehicleEvent,Vehicle detected,2,1453006,27.7,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:02.782000+02:00,avc_VehicleEvent,Vehicle detected,2,1453007,38.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:07.920000+02:00,avc_VehicleEvent,Vehicle detected,2,1453008,29.2,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:32.345000+02:00,avc_VehicleEvent,Vehicle detected,2,1453011,38.6,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:37.015000+02:00,avc_VehicleEvent,Vehicle detected,2,1453012,33.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:38.216000+02:00,avc_VehicleEvent,Vehicle detected,2,1453013,35,1,Car,5,10,flircam,97869098849
2025-03-01T10:40:44.490000+02:00,avc_VehicleEvent,Vehicle detected,2,1453014,31.1,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:01.138000+02:00,avc_VehicleEvent,Vehicle detected,2,1453019,21.8,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:02.673000+02:00,avc_VehicleEvent,Vehicle detected,2,1453020,24.3,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:09.747000+02:00,avc_VehicleEvent,Vehicle detected,2,1453021,24.5,1,Car,5,10,flircam,97869098849
2025-03-01T10:41:10.483000+02:00,avc_VehicleEvent,Vehicle detected,4,1453022,14.7,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T10:41:19.957000+02:00,avc_VehicleEvent,Vehicle detected,2,1453024,26.1,1,Car,5,10,flircam,97869098849
